BtsName,BscId,Longitude,Latitude,Altitude,BtsCompany,BtsPower
LUHUAGANG1,42222,121.115405,41.071177,90,Siemens,5
LUHUAGANG2,42222,121.115405,41.071177,50,Siemens,5
LUHUAGANG3,42222,121.115405,41.071177,40,Siemens,5
SONGCHENG1,42222,121.097538,41.114077,90,Siemens,5
SONGCHENG2,42222,121.097538,41.114077,25,Siemens,5
SONGCHENG3,42222,121.097538,41.114077,50,Siemens,5
KAIHUA1,42222,121.184525,41.116237,45,Siemens,5
KAIHUA3,42222,121.184525,41.116237,30,Siemens,5
JINGXIAO1,42222,121.135672,41.150097,50,Siemens,5
JINGXIAO2,42222,121.135672,41.150097,50,Siemens,5
JINGXIAO3,42222,121.135672,41.150097,50,Siemens,5
LONGTINGQUWEI1,42223,121.143235,41.127247,50,Datang,5
LONGTINGQUWEI2,42223,121.143235,41.127247,25,Datang,5
LONGTINGQUWEI3,42223,121.143235,41.127247,30,Datang,5
ERBO1,42223,121.162595,41.102167,50,Datang,5
ERBO2,42223,121.162595,41.102167,50,Datang,5
ERBO3,42223,121.162595,41.102167,30,Datang,5
BINHEJIAYUAN1,42223,121.129005,41.11006,30,Datang,5
BINHEJIAYUAN2,42223,121.129005,41.11006,25,Datang,5
BINHEJIAYUAN3,42223,121.129005,41.11006,30,Datang,5
YGMIAOJIE1,42223,121.155005,41.13311,30,Datang,5
YGMIAOJIE2,42223,121.155005,41.13311,35,Datang,5
YGMIAOJIE3,42223,121.155005,41.13311,35,Datang,5
ZHUANYEFENJU1,42223,121.120955,41.121694,50,Datang,5
ZHUANYEFENJU2,42223,121.120955,41.121694,50,Datang,5
ZHUANYEFENJU3,42223,121.120955,41.121694,25,Datang,5
SHENGSIJIAN1,42223,121.185335,41.104287,40,Datang,5
SHENGSIJIAN2,42223,121.185335,41.104287,40,Datang,5
SHENGSIJIAN3,42223,121.185335,41.104287,40,Datang,5
,,,,,,
