路测标识,小区ID,纬度,经度,接收电平
KeyNum,CellID,Latitude,Longitude,RxLev
304968,9151,121.147322,41.130895,-94.79711
304969,9151,121.147324,41.130897,-94.79998
304970,9151,121.147326,41.130898,-94.80285
304971,9151,121.147327,41.1309,-94.805719
304972,9151,121.147329,41.130902,-94.808588
304973,9151,121.147331,41.130903,-94.811456
304974,9151,121.147332,41.130905,-94.814324
304975,9151,121.147334,41.130907,-94.817191
304976,9151,121.147336,41.130909,-94.820057
304977,9151,121.147338,41.13091,-94.822923
304978,9151,121.147339,41.130912,-94.825789
304979,9151,121.147341,41.130914,-94.828653
304980,9151,121.147343,41.130915,-94.831518
304981,9151,121.147344,41.130917,-94.834382
304982,9151,121.147346,41.130919,-94.837245
304983,9151,121.147348,41.13092,-94.840107
304984,9151,121.147349,41.130922,-94.84297
304985,9151,121.147351,41.130924,-94.845831
304986,9151,121.147353,41.130926,-94.848692
304987,9151,121.147355,41.130927,-94.851553
304988,9151,121.147356,41.130929,-94.854413
304989,9151,121.147358,41.130931,-94.857272
304990,9151,121.14736,41.130932,-94.860131
304991,9151,121.147361,41.130934,-94.862989
304992,9151,121.147363,41.130936,-94.865847
304993,9151,121.147365,41.130937,-94.868704
304994,9151,121.147366,41.130939,-94.871561
304995,9151,121.147368,41.130941,-94.874417
304996,9151,121.14737,41.130943,-94.877273
304997,9151,121.147372,41.130944,-94.880128
304998,9151,121.147373,41.130946,-94.882982
304999,9151,121.147375,41.130948,-94.885836
305000,9151,121.147377,41.130949,-94.88869
305001,9151,121.147378,41.130951,-94.891542
305002,9151,121.14738,41.130953,-94.894395
305003,9151,121.147382,41.130954,-94.897247
305004,9151,121.147383,41.130956,-94.900098
305005,9151,121.147385,41.130958,-94.902948
305006,9151,121.147387,41.13096,-94.905799
305007,9151,121.147389,41.130961,-94.908648
305008,9151,121.14739,41.130963,-94.911497
305009,9151,121.147392,41.130965,-94.914346
305010,9151,121.147394,41.130966,-94.917194
305011,9151,121.147395,41.130968,-94.920041
305012,9151,121.147397,41.13097,-94.922888
305013,9151,121.147399,41.130971,-94.925735
305014,9151,121.1474,41.130973,-94.92858
305015,9151,121.147402,41.130975,-94.931426
305016,9151,121.147404,41.130977,-94.934271
305017,9151,121.147406,41.130978,-94.937115
305018,9151,121.147407,41.13098,-94.939958
305019,9151,121.147409,41.130982,-94.942802
305020,9151,121.147411,41.130983,-94.945644
305021,9151,121.147412,41.130985,-94.948486
305022,9151,121.147414,41.130987,-94.951328
305023,9151,121.147416,41.130988,-94.954169
305024,9151,121.147417,41.13099,-94.957009
305025,9151,121.147419,41.130992,-94.959849
305026,9151,121.147421,41.130994,-94.962688
305027,9151,121.147423,41.130995,-94.965527
305028,9151,121.147424,41.130997,-94.968366
305029,9151,121.147426,41.130999,-94.971203
305030,9151,121.147428,41.131,-94.974041
305031,9151,121.147429,41.131002,-94.976877
305032,9151,121.147431,41.131004,-94.979713
305033,9151,121.147433,41.131005,-94.982549
305034,9151,121.147434,41.131007,-94.985384
305035,9151,121.147436,41.131009,-94.988219
305036,9151,121.147438,41.131011,-94.991053
305037,9151,121.14744,41.131012,-94.993886
305038,9151,121.147441,41.131014,-94.996719
305039,9151,121.147443,41.131016,-94.999552
305040,9151,121.147445,41.131017,-95.002383
305041,9151,121.147446,41.131019,-95.005215
305042,9151,121.147448,41.131021,-95.008046
305043,9151,121.14745,41.131022,-95.010876
305044,9151,121.147451,41.131024,-95.013706
305045,9151,121.147453,41.131026,-95.016535
305046,9151,121.147455,41.131028,-95.019363
305047,9151,121.147457,41.131029,-95.022192
305048,9151,121.147458,41.131031,-95.025019
305049,9151,121.14746,41.131033,-95.027846
305050,9151,121.147462,41.131034,-95.030673
305051,9151,121.147463,41.131036,-95.033499
305052,9151,121.147465,41.131038,-95.036324
305053,9151,121.147467,41.131039,-95.039149
305054,9151,121.147468,41.131041,-95.041974
305055,9151,121.14747,41.131043,-95.044797
305056,9151,121.147472,41.131045,-95.047621
305057,9151,121.147474,41.131046,-95.050444
305058,9151,121.147475,41.131048,-95.053266
305059,9151,121.147477,41.13105,-95.056088
305060,9151,121.147479,41.131051,-95.058909
